,Energia Down,Energia Up,Day-ahead Forecast Wind,DA Forecast PV,DA Forecast Consumo,DAToda a Geração,DA Tie Lines Balance,DA Traded Wind,DA Traded PV
0,83.7,116.9,3715.0,0.0,21808.0,18365.7,1524.9,4326.8,7.1
1,11.6,348.1,3748.0,0.0,20635.0,17396.3,1336.4,4213.9,7.1
2,15.3,286.9,3545.0,0.0,19824.0,17080.8,1158.3,4059.7,7.1
3,36.6,398.4,3407.0,0.0,19544.0,17125.4,1114.3,3921.6,7.1
4,22.4,280.9,3321.0,0.0,19803.0,17163.7,1323.6,3902.3,14.1
5,20.7,391.6,3359.0,0.0,20208.0,17334.6,1621.2,3882.7,34.0
6,41.7,389.5,3290.0,67.5,20076.0,17509.5,1919.2,3836.0,153.4
7,142.0,45.9,3251.0,754.7,20431.0,18043.3,2293.2,3405.5,853.8
8,147.9,28.5,2672.0,1792.8,21385.0,19400.2,2622.6,3081.0,1863.6
9,30.3,294.6,2024.0,2550.0,22413.0,20697.1,2229.0,2708.9,2657.0
10,470.3,30.3,1669.0,2976.1,23489.0,21563.7,1890.6,2398.2,2996.5
11,334.3,22.8,1609.0,3044.0,24130.0,21728.5,2012.9,2226.8,3058.9
12,231.8,26.5,1619.0,2850.7,24031.0,21612.8,2129.0,2285.8,2896.3
13,383.2,19.8,1557.0,2327.1,23214.0,20984.0,1930.3,2370.9,2447.2
14,175.1,19.3,1562.0,1438.2,22644.0,20365.3,1943.6,2508.4,1570.0
15,21.7,352.8,1961.0,397.3,23349.0,20176.9,2499.3,3003.4,534.9
16,22.3,180.5,2991.0,2.0,25648.0,20781.1,3804.1,3635.3,160.0
17,75.1,36.7,3753.0,0.0,26898.0,21556.1,4059.9,4256.7,149.2
18,214.9,19.9,4282.0,0.0,28052.0,22295.9,4351.6,4921.9,133.9
19,200.6,20.5,4965.0,0.0,28046.0,23159.8,3624.2,5615.5,133.7
20,151.5,24.1,5596.0,0.0,27207.0,23122.3,3160.5,6193.1,133.9
21,3.5,363.8,6175.0,0.0,24914.0,22740.6,1460.8,6743.4,134.0
